iter	Logloss
0	0.6879050547
1	0.6838811824
2	0.6803162184
3	0.6767054617
4	0.6743295195
5	0.6717360816
6	0.6691482663
7	0.6673760794
8	0.6656853593
9	0.663983474
10	0.662534519
11	0.6612398576
12	0.660116914
13	0.6593354261
14	0.6586733565
15	0.6578118439
16	0.6569505406
17	0.656138704
18	0.655386617
19	0.6547702854
20	0.6540392037
21	0.6534346946
22	0.6528236182
23	0.6524853398
24	0.6521444186
25	0.6515986808
26	0.6511173169
27	0.6506816791
28	0.6503608109
29	0.6500203073
30	0.6497166991
31	0.6493148179
32	0.649191572
33	0.6488259974
34	0.6483548391
35	0.6479064309
36	0.6475422132
37	0.6473236278
38	0.6469111549
39	0.6464944627
40	0.6462233102
41	0.6458048561
42	0.6454682303
43	0.6450928642
44	0.6447793403
45	0.6444459139
46	0.6443404162
47	0.6440175029
48	0.6438111297
49	0.6434059724
50	0.6431223426
51	0.642850084
52	0.6426898661
53	0.6424177764
54	0.642145968
55	0.6417563658
56	0.6416657588
57	0.6414279161
58	0.6411351207
59	0.6408615356
60	0.6406230785
61	0.6403885858
62	0.6401206503
63	0.639921351
64	0.6394800936
65	0.6392424679
66	0.6389601149
67	0.6388241912
68	0.638440905
69	0.6380780107
70	0.6378080943
71	0.6376017721
72	0.6373900587
73	0.6370125185
74	0.6367338981
75	0.6365175493
76	0.6362258854
77	0.6358864453
78	0.6355745566
79	0.6353322394
80	0.6351170884
81	0.6350927485
82	0.6347563565
83	0.6346115835
84	0.6343983468
85	0.6340553931
86	0.6336692523
87	0.6334818044
88	0.6333118741
89	0.6330382326
90	0.6329188083
91	0.6325907587
92	0.6323825085
93	0.6323164147
94	0.6321405695
95	0.6319219687
96	0.6317100516
97	0.6315262371
98	0.631405221
99	0.6312771103
